source_id,order_id,date,product,currency,quantity,unit_price,kind,note
S001,T001,2026-09-01,cup,TWD,1,300,sale,合成交易
S002,T002,2026-09-02,notebook,TWD,2,80,sale,合成交易
S003,T003,2026-09-03,cup,TWD,3,300,sale,合成交易
S004,T004,2026-09-04,notebook,TWD,1,80,sale,合成交易
S005,T005,2026-09-05,cup,TWD,2,300,sale,合成交易
S006,T006,2026-09-06,notebook,TWD,3,80,sale,合成交易
S007,T007,2026-09-07,cup,TWD,1,300,sale,合成交易
S008,T008,2026-09-08,notebook,TWD,2,80,sale,合成交易
S009,T009,2026-09-09,cup,TWD,3,300,sale,合成交易
S010,T010,2026-09-10,notebook,TWD,1,80,sale,合成交易
S011,T011,2026-09-11,cup,TWD,2,300,sale,合成交易
S012,T012,2026-09-12,notebook,TWD,3,80,sale,合成交易
S013,T013,2026-09-13,cup,TWD,1,300,sale,合成交易
S014,T014,2026-09-14,notebook,TWD,2,80,sale,合成交易
S015,T015,2026-09-01,cup,TWD,3,300,sale,合成交易
S016,T016,2026-09-02,notebook,TWD,1,80,sale,合成交易
S017,T017,2026-09-03,cup,TWD,2,300,sale,合成交易
S018,T018,2026-09-04,notebook,TWD,3,80,sale,合成交易
S019,T019,2026-09-05,cup,TWD,1,300,sale,合成交易
S020,T020,2026-09-06,notebook,TWD,2,80,sale,合成交易
S021,T021,2026-09-07,cup,TWD,3,300,sale,合成交易
S022,T022,2026-09-08,notebook,TWD,1,80,sale,合成交易
S023,T023,2026-09-09,cup,TWD,2,300,sale,合成交易
S024,T024,2026-09-10,notebook,TWD,3,80,sale,合成交易
S025,T025,2026-09-11,cup,TWD,1,300,sale,合成交易
S026,T026,2026-09-12,notebook,TWD,2,80,sale,合成交易
S027,T027,2026-09-13,cup,TWD,3,300,sale,合成交易
S028,T028,2026-09-14,notebook,TWD,1,80,sale,合成交易
S029,T029,2026-09-01,cup,TWD,2,300,sale,合成交易
S030,T030,2026-09-02,notebook,TWD,3,80,sale,合成交易
S031,T031,2026-09-03,cup,TWD,1,300,sale,合成交易
S032,T032,2026-09-04,notebook,TWD,2,80,sale,合成交易
S033,T033,2026-09-05,cup,TWD,3,300,sale,合成交易
S034,T034,2026-09-06,notebook,TWD,1,80,sale,合成交易
S035,T035,2026-09-07,cup,TWD,2,300,sale,合成交易
S036,T036,2026-09-08,notebook,TWD,3,80,sale,合成交易
S037,T037,2026-09-09,cup,TWD,1,300,sale,合成交易
S038,T038,2026-09-10,notebook,TWD,2,80,sale,合成交易
S039,T039,2026-09-11,cup,TWD,3,300,sale,合成交易
S040,T040,2026-09-12,notebook,TWD,1,80,sale,合成交易
S041,T005,2026-09-05,cup,TWD,2,300,sale,合成交易
S042,T042,2026-09-12,cup,TWD,2,,sale,金額缺失，不能補零
S043,T043,2026-02-30,cup,TWD,2,300,sale,無效日期
S044,T044,2026/09/12,cup,TWD,2,300,sale,明確年/月/日，可標準化
S045,T045,09/10/2026,cup,TWD,2,300,sale,日期次序不明，待確認
S046,T046,2026-09-12,cup,USD,2,25,sale,不同幣別分組，不自行換匯
S047,T047,2026-09-12,cup,,2,300,sale,幣別缺失
S048,T048,2026-09-12,cup,TWD,-1,300,refund,已確認一件退款，保留負值
S049,T049,2026-09-12,cup,TWD,100,300,sale,已確認團體訂單，不能因大額刪除
S050,T010,2026-09-12,notebook,TWD,2,90,sale,與S010同單號但內容不同，兩列隔離
