fact_id,format,location,actual,judgment,status
F01,handout,,,,not_run
F01,audio,,,,not_run
F01,video,,,,not_run
F02,handout,,,,not_run
F02,audio,,,,not_run
F02,video,,,,not_run
F03,handout,,,,not_run
F03,audio,,,,not_run
F03,video,,,,not_run
F04,handout,,,,not_run
F04,audio,,,,not_run
F04,video,,,,not_run
F05,handout,,,,not_run
F05,audio,,,,not_run
F05,video,,,,not_run
F06,handout,,,,not_run
F06,audio,,,,not_run
F06,video,,,,not_run
F07,handout,,,,not_run
F07,audio,,,,not_run
F07,video,,,,not_run
F08,handout,,,,not_run
F08,audio,,,,not_run
F08,video,,,,not_run
F09,handout,,,,not_run
F09,audio,,,,not_run
F09,video,,,,not_run
F10,handout,,,,not_run
F10,audio,,,,not_run
F10,video,,,,not_run
