id,version,status,raw_file,source_correct,unexpected_promise,notes
G01,v1,not_run,,,,
G01,v2,not_run,,,,
G02,v1,not_run,,,,
G02,v2,not_run,,,,
G03,v1,not_run,,,,
G03,v2,not_run,,,,
G04,v1,not_run,,,,
G04,v2,not_run,,,,
G05,v1,not_run,,,,
G05,v2,not_run,,,,
G06,v1,not_run,,,,
G06,v2,not_run,,,,
G07,v1,not_run,,,,
G07,v2,not_run,,,,
G08,v1,not_run,,,,
G08,v2,not_run,,,,
G09,v1,not_run,,,,
G09,v2,not_run,,,,
G10,v1,not_run,,,,
G10,v2,not_run,,,,
G11,v1,not_run,,,,
G11,v2,not_run,,,,
G12,v1,not_run,,,,
G12,v2,not_run,,,,
