case_id,variant,raw_file,capture_status,review_status,accuracy,coverage,format,uncertainty,evidence
C01,A,raw/C01-A.txt,captured,pending,,,,,
C01,B,raw/C01-B.txt,captured,pending,,,,,
C02,A,raw/C02-A.txt,captured,pending,,,,,
C02,B,raw/C02-B.txt,captured,pending,,,,,
C03,A,raw/C03-A.txt,captured,pending,,,,,
C03,B,raw/C03-B.txt,captured,pending,,,,,
C04,A,raw/C04-A.txt,captured,pending,,,,,
C04,B,raw/C04-B.txt,captured,pending,,,,,
C05,A,raw/C05-A.txt,captured,pending,,,,,
C05,B,raw/C05-B.txt,captured,pending,,,,,
C06,A,raw/C06-A.txt,captured,pending,,,,,
C06,B,raw/C06-B.txt,captured,pending,,,,,
C07,A,raw/C07-A.txt,captured,pending,,,,,
C07,B,raw/C07-B.txt,captured,pending,,,,,
C08,A,raw/C08-A.txt,captured,pending,,,,,
C08,B,raw/C08-B.txt,captured,pending,,,,,
C09,A,raw/C09-A.txt,captured,pending,,,,,
C09,B,raw/C09-B.txt,captured,pending,,,,,
C10,A,raw/C10-A.txt,captured,pending,,,,,
C10,B,raw/C10-B.txt,captured,pending,,,,,
